"","x"
"1",14977
"2",14886
"3",14886
"4",14789
"5",14771
"6",14770
"7",14733
"8",14599
"9",14490
"10",14384
"11",14320
"12",14315
"13",14226
"14",14219
"15",14138
"16",14121
"17",14093
"18",13971
"19",13869
"20",13816
"21",13749
"22",13701
"23",13694
"24",13694
"25",13506
"26",13472
"27",13302
"28",13271
"29",13252
"30",13183
"31",13122
"32",13108
"33",13074
"34",13050
"35",12985
"36",12970
"37",12922
"38",12595
"39",12533
"40",12518
"41",12500
"42",12493
"43",12462
"44",12411
"45",12405
"46",12351
"47",12227
"48",11956
"49",11881
"50",11868
"51",11740
"52",11734
"53",11705
"54",11696
"55",11650
"56",11591
"57",11564
"58",11525
"59",11455
"60",11444
"61",11423
"62",11389
"63",11376
"64",11341
"65",11334
"66",11268
"67",11185
"68",11137
"69",11135
"70",11127
"71",11114
"72",11102
"73",11072
"74",11070
"75",10984
"76",10969
"77",10932
"78",10917
"79",10912
"80",10885
"81",10836
"82",10819
"83",10804
"84",10787
"85",10756
"86",10756
"87",10748
"88",10718
"89",10706
"90",10695
"91",10646
"92",10624
"93",10624
"94",10601
"95",10545
"96",10534
"97",10507
"98",10503
"99",10468
"100",10434
"101",10412
"102",10389
"103",10383
"104",10363
"105",10342
"106",10332
"107",10299
"108",10292
"109",10276
"110",10253
"111",10245
"112",10226
"113",10206
"114",10192
"115",10154
"116",10131
"117",10113
"118",10110
"119",10088
"120",10035
"121",10017
"122",10014
"123",9989
"124",9985
"125",9926
"126",9919
"127",9901
"128",9892
"129",9856
"130",9849
"131",9768
"132",9767
"133",9749
"134",9725
"135",9723
"136",9669
"137",9669
"138",9646
"139",9645
"140",9634
"141",9633
"142",9610
"143",9597
"144",9593
"145",9588
"146",9564
"147",9555
"148",9542
"149",9528
"150",9528
"151",9460
"152",9406
"153",9388
"154",9383
"155",9377
"156",9372
"157",9362
"158",9361
"159",9325
"160",9304
"161",9297
"162",9285
"163",9261
"164",9252
"165",9233
"166",9226
"167",9166
"168",9151
"169",9113
"170",9096
"171",9094
"172",9091
"173",9088
"174",9086
"175",9085
"176",9041
"177",9038
"178",9038
"179",9036
"180",9030
"181",9027
"182",9022
"183",9014
"184",9003
"185",9001
"186",8994
