year,stcode,routeno,physreg,date,county,tot.seen,tot.heard,tot.seen.stop,tot.seen.drive
1966,Pennsylvania-72,40,42,5/22/1966,,28,28,,
1966,Pennsylvania-72,60,41,6/3/1966,,11,12,,
1966,Pennsylvania-72,61,85,5/20/1966,,0,0,,
1966,Pennsylvania-72,110,85,6/9/1966,,20,9,,
1966,Pennsylvania-72,120,85,5/22/1966,,0,11,,
1966,Pennsylvania-72,180,62,6/6/1966,,12,38,,
1966,Pennsylvania-72,210,62,5/23/1966,,5,2,,
1966,Pennsylvania-72,320,62,6/2/1966,,65,28,,
1966,Pennsylvania-72,350,85,5/25/1966,,3,7,,
1966,Pennsylvania-72,390,62,,,3,18,,
1966,Pennsylvania-72,420,62,6/5/1966,,18,12,,
1966,Pennsylvania-72,520,81,6/8/1966,,2,7,,
1966,Pennsylvania-72,670,81,6/9/1966,,0,4,,
1966,Pennsylvania-72,810,81,5/24/1966,,1,0,,
1966,Pennsylvania-72,960,81,6/6/1966,,0,6,,
1966,Pennsylvania-72,980,81,6/3/1966,,0,1,,
1967,Pennsylvania-72,40,42,5/30/1967,,17,43,,
1967,Pennsylvania-72,60,41,6/5/1967,,3,14,,
1967,Pennsylvania-72,61,85,6/3/1967,,0,0,,
1967,Pennsylvania-72,110,85,6/7/1967,,6,4,,
1967,Pennsylvania-72,120,85,6/2/1967,,3,12,,
1967,Pennsylvania-72,210,62,6/2/1967,,4,0,,
1967,Pennsylvania-72,320,62,6/1/1967,,73,24,,
1967,Pennsylvania-72,350,85,5/30/1967,,10,9,,
1967,Pennsylvania-72,390,62,6/3/1967,,0,19,,
1967,Pennsylvania-72,420,62,5/23/1967,,7,4,,
1967,Pennsylvania-72,520,81,6/5/1967,,0,3,,
1967,Pennsylvania-72,760,81,5/28/1967,,20,51,,
1967,Pennsylvania-72,960,81,5/31/1967,,0,4,,
1967,Pennsylvania-72,980,81,5/28/1967,,0,15,,
1968,Pennsylvania-72,40,42,6/2/1968,,21,25,,
1968,Pennsylvania-72,60,41,6/5/1968,,4,9,,
1968,Pennsylvania-72,61,85,5/31/1968,,0,0,,
1968,Pennsylvania-72,110,85,5/25/1968,,0,5,,
1968,Pennsylvania-72,120,85,6/6/1968,,1,12,,
1968,Pennsylvania-72,180,62,5/30/1968,,17,36,,
1968,Pennsylvania-72,210,62,5/27/1968,,3,4,,
1968,Pennsylvania-72,320,62,5/30/1968,,114,36,,
1968,Pennsylvania-72,350,85,5/29/1968,,2,2,,
1968,Pennsylvania-72,390,62,6/3/1968,,2,9,,
1968,Pennsylvania-72,420,62,5/24/1968,,4,6,,
1968,Pennsylvania-72,520,81,5/31/1968,,0,2,,
1968,Pennsylvania-72,670,81,5/30/1968,,3,14,,
1968,Pennsylvania-72,760,81,6/3/1968,,14,18,,
1968,Pennsylvania-72,810,81,6/4/1968,,0,2,,
1968,Pennsylvania-72,960,81,6/4/1968,,0,4,,
1968,Pennsylvania-72,980,81,5/29/1968,,3,7,,
1969,Pennsylvania-72,40,42,5/25/1969,,16,29,,
1969,Pennsylvania-72,60,41,6/8/1969,,3,20,,
1969,Pennsylvania-72,61,85,5/28/1969,,0,0,,
1969,Pennsylvania-72,110,85,5/31/1969,,4,3,,
1969,Pennsylvania-72,120,85,5/27/1969,,8,13,,
1969,Pennsylvania-72,180,62,5/29/1969,,19,36,,
1969,Pennsylvania-72,320,62,5/22/1969,,172,39,,
1969,Pennsylvania-72,350,85,5/30/1969,,2,6,,
1969,Pennsylvania-72,390,62,5/22/1969,,3,11,,
1969,Pennsylvania-72,420,62,5/29/1969,,1,4,,
1969,Pennsylvania-72,520,81,5/28/1969,,0,2,,
1969,Pennsylvania-72,760,81,5/27/1969,,16,15,,
1969,Pennsylvania-72,810,81,5/21/1969,,0,1,,
1969,Pennsylvania-72,960,81,5/22/1969,,1,4,,
1969,Pennsylvania-72,980,81,5/27/1969,,5,8,,
1970,Pennsylvania-72,40,42,6/4/1970,,13,17,,
1970,Pennsylvania-72,60,41,5/29/1970,,7,25,,
1970,Pennsylvania-72,61,85,5/20/1970,,0,0,,
1970,Pennsylvania-72,110,85,6/11/1970,,0,2,,
1970,Pennsylvania-72,120,85,6/2/1970,,1,5,,
1970,Pennsylvania-72,180,62,5/29/1970,,11,17,,
1970,Pennsylvania-72,210,62,5/22/1970,,3,2,,
1970,Pennsylvania-72,320,62,5/27/1970,,166,33,,
1970,Pennsylvania-72,350,85,6/3/1970,,3,1,,
1970,Pennsylvania-72,390,62,5/21/1970,,0,15,,
