#,,#,clutch size,Inc (d),Nes (d),Suc (%),Pred (%),Brds (no/yr),Surv (%),Lat,Foraging Site,References
i.bird,group,spp,clutch.sz,inc.dur,nest.dur,nest.suc,pred,broods,surv.adult,lat,foraging.site,refs
1,excavating,Red-headed Woodpecker,4.82,13.5,26,78,NA,1.5,0.622,31,Bark,1 4
2,excavating,Acorn Woodpecker,4.36,11.5,31,92.9,7.1,1,0.746,34,Bark,2 4
3,excavating,Red-bellied Woodpecker,4.31,11.5,25,82,NA,1,0.683,31,Bark,1 3 4
4,excavating,Red-NAped Sapsucker,4.93,13,27,96.6,3.4,1,0.607,34,Bark,4 5 111
5,excavating,Williamson's Sapsucker,4.38,13,31.5,92.3,7.7,1,NA,34,Bark,4 5 6
6,excavating,Downy Woodpecker,4.81,12,22.5,100,0,1.5,0.604,34,Bark,3 4 5 7
7,excavating,Hairy Woodpecker,3.93, NA,29,87.5,12.5,1,NA,34,Bark,4 5 8
8,excavating,Red-cockaded Woodpecker,3.27,11.5,26,72.7,NA,1,0.735,35,Bark,98
9,excavating,Pileated Woodpecker,3.8,18,26,83,NA,1,0.69,45,Bark,99
10,excavating,Red-breasted Nuthatch,5.5,12,19.5,74.1,25.9,1,NA,34,Bark,5
11,excavating,Pygmy Nuthatch,6.5,16,22,86.8,13.2,1,0.65,34,Canopy,5 9
12,non-excavating,Tree Swallow,4.7,14.5,20,45.8,31.3,1,0.398,43,Aerial,100
13,non-excavating,Purple Martin,4.93,15.5,28,NA,NA,1,0.431,42,Aerial,101
14,non-excavating,Cliff Swallow,3.6,13,23,64.8,NA,1.5,0.478,39,Aerial,102 103
15,non-excavating,Barn Swallow,4.49,15,20.5,43.2,0.1,1.5,0.416,44,Aerial,103 104
16,non-excavating,Eastern Phoebe,4.74,16,16,70,15.9,2,0.312,40,Aerial,105
17,non-excavating,Black-capped Chickadee,6.82,12,16,66.3,19.7,1.5,0.403,40,Canopy,10 11 48
18,non-excavating,CaroliNA Chickadee,6.5,12,16.4,76,21.1,1.5,0.405,40,Canopy,11
19,non-excavating,Mountain Chickadee,7.06,14,20,57.2,42.8,1,0.52,34,Canopy,5 97
20,non-excavating,Plain Titmouse,6.75,15,18.5,NA,NA,1,0.526,38,Canopy,12
21,non-excavating,Tufted Titmouse,6,13.5,17.5,NA,NA,2,0.416,36,Canopy,7
22,non-excavating,White-breastedN uthatch,8,12,15,60.2,39.8,1.5,0.35,34,Bark,3 5
23,non-excavating,Brown Creeper,5.55,15,15.5,64.7,35.3,1.5,NA,34,Bark,5 13
24,non-excavating,House Wren,6.5,14,15,71.5,28.5,2,0.296,34,Shrub,5 14
25,non-excavating,Dipper ,4.3,NA,16,24.5,NA,2,0.456,40,Aquatic,15
26,non-excavating,Eastern Bluebird,4.42,14.1,17.5,48.2,48.6,2,0.49,42,Aerial,16
27,non-excavating,WesternB luebird,4.82,13.8,21,NA,NA,2,0.449,36,Aerial,106
28,non-excavating,European Starling,5.36,12,21,NA,NA,2,0.485,42,Ground,17
29,non-excavating,ProthonotaryW arbler,4.87,12.5,12,69,31,2,0.435,36,Canopy,18
30,ground-nesting,Horned Lark,3.36,11.7,9.5,56,24.9,2,NA,47,Ground,19
31,ground-nesting,Water Pipit,4.6,14.4,14.4,58.5,22.3,1,NA,45,Ground,20
32,ground-nesting,Orange-crownedW arbler,4.46,14,11,50,50,1,NA,34,Shrub,5
33,ground-nesting,Virginia's Warbler,3.6,13,12,58,42,1,NA,34,Canopy,5
34,ground-nesting,Kirtland's Warbler,4.63,14.1,11.4,30,40.1,1,0.65,44,Shrub,21
35,ground-nesting,Black-and-WhiteW arbler,4.76,11,11,73.7,26.3,1,NA,38,Bark,5
36,ground-nesting,Worm-eatingW arbler,4.76,13,11,72.7,25.6,1,0.7,39,Canopy,5 109
37,ground-nesting,Ovenbird ,4.7,12,9,45.2,24.5,1,0.638,42,Ground,5 22 47 63a
38,ground-nesting,Northern Waterthrush,4.28,13,10,NA,NA,1,0.647,42,Ground,5 63a
39,ground-nesting,LouisiaNA Waterthrush,5.8,12.5,10,70,NA,1,NA,42,Ground,23
40,ground-nesting,Kentucky Warbler,4.62,12.5,9,70,30,1,0.648,38,Ground,5 112
41,ground-nesting,Wilson's Warbler,4.18,12.8,9.7,60.3,34.9,1,0.563,38,Shrub,24
42,ground-nesting,Red-faced Warbler,4.53,13,12,52,48,1,0.677,34,Canopy,5
43,ground-nesting,Bachman's Sparrow,4,13.5,9,35.7,45.8,2,NA,38,Ground,25
44,ground-nesting,Vesper Sparrow,3.75,12,9,31.4,52.9,2.5,0.5,40,Ground,26
45,ground-nesting,Lark Sparrow,3.61,11.5,9.5,45.2,38.7,2,NA,34,Ground,27
46,ground-nesting,SavanNAh Sparrow,4.04,11.8,9,40.8,43.4,2.5,0.485,50,Ground,26 26a 28
47,ground-nesting,Grasshopper Sparrow,4.39,11.5,9,39.2,58.9,2,NA,42,Ground,26 26a
48,ground-nesting,White-throatedSp arrow,4.27,13,9,44.9,41.3,1.5,0.543,46,Ground,3 29
49,ground-nesting,Harris' Sparrow,4.26,12.8,9.3,47.7,30,1,NA,63,Ground,96
50,ground-nesting,Dark-eyed Junco,3.94,11.8,10,59.9,31.7,2,0.565,38,Ground,3 5 30
51,ground-nesting,Yellow-eyed Junco,3.4,13,10.5,48.1,NA,2,0.588,34,Ground,107
52,ground-nesting,Lapland Longspur,5.06,12,7,49.4,32.4,1,0.677,71,Ground,31
53,ground-nesting,Snow Bunting,5.23,12,13.5,NA,27.9,1,NA,71,Ground,32
54,ground-nesting,Bobolink ,5.12,11.5,12,62.8,29.8,1,0.59,45,Ground,26a 33
55,ground-nesting,Eastern Meadowlark,4.49,14.1,11,37.5,48.6,2,0.56,4,,
56,shrub or low foliage,Acadian Flycatcher,2.93,14.2,13.7,57.4,27.9,1.5,0.46,43,Aerial,36 37
57,shrub or low foliage,Willow Flycatcher,3.63,13.9,13.5,49.3,44.2,1,0.45,43,Aerial,38
58,shrub or low foliage,Least Flycatcher,3.95,14,14.8,47.4,53.3,1,0.42,43,Aerial,37 39
59,shrub or low foliage,Dusky Flycatcher,3.6,13.5,18,38,55.5,1,0.577,43,Aerial,40 41
60,shrub or low foliage,Cordilleran Flycatcher,3.3,16,16.3,17.9,58.9,1,NA,39,Aerial,5 42
61,shrub or low foliage,Sedge Wren,6.26,14,13,68.2,22.7,2,NA,47,Shrub,43
62,shrub or low foliage,Marsh Wren,4.91,13.1,12.5,39.4,46.9,2,NA,31,Shrub,44
63,shrub or low foliage,Cactus Wren,3.43,16,20.9,68.8,28.6,3,0.439,32,Shrub,108
