Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand,Transcript length (including UTRs and CDS),Gene % GC content,Gene type
ENSMUSG00000064341,MT,2751,3707,1,957,37.62,protein_coding
ENSMUSG00000064345,MT,3914,4951,1,1038,35.74,protein_coding
ENSMUSG00000064351,MT,5328,6872,1,1545,39.87,protein_coding
ENSMUSG00000064354,MT,7013,7696,1,684,38.60,protein_coding
ENSMUSG00000064356,MT,7766,7969,1,204,31.86,protein_coding
ENSMUSG00000064357,MT,7927,8607,1,681,35.98,protein_coding
ENSMUSG00000064358,MT,8607,9390,1,784,38.90,protein_coding
ENSMUSG00000064360,MT,9459,9806,1,348,33.05,protein_coding
ENSMUSG00000065947,MT,9877,10173,1,297,41.08,protein_coding
ENSMUSG00000064363,MT,10167,11544,1,1378,35.63,protein_coding
ENSMUSG00000064367,MT,11742,13565,1,1824,37.12,protein_coding
ENSMUSG00000064368,MT,13552,14070,-1,519,34.10,protein_coding
ENSMUSG00000064370,MT,14145,15288,1,1144,39.07,protein_coding
ENSMUSG00000094915,GL456212.1,31967,34932,-1,366,40.83,protein_coding
ENSMUSG00000094722,JH584298.1,90528,93623,1,1446,43.80,protein_coding
ENSMUSG00000079800,GL456210.1,9124,58882,-1,1271,44.73,protein_coding
ENSMUSG00000094741,GL456354.1,6366,8939,1,1224,45.92,protein_coding
ENSMUSG00000095666,JH584296.1,41338,44417,-1,1446,43.90,protein_coding
ENSMUSG00000079222,GL456221.1,17591,30203,-1,1205,45.73,protein_coding
ENSMUSG00000095250,GL456211.1,30483,32396,-1,366,47.75,protein_coding
ENSMUSG00000094836,JH584299.1,4975,7356,1,1080,40.81,protein_coding
ENSMUSG00000095019,JH584303.1,81607,82689,1,1083,43.03,protein_coding
ENSMUSG00000096776,GL456219.1,94186,95088,-1,903,43.63,protein_coding
ENSMUSG00000094303,JH584297.1,19740,22248,-1,1218,44.04,protein_coding
ENSMUSG00000095742,JH584295.1,66,1479,-1,243,61.95,protein_coding
ENSMUSG00000079808,GL456212.1,128555,150452,-1,1910,46.70,protein_coding
ENSMUSG00000095787,GL456211.1,54469,54840,-1,372,50.27,protein_coding
ENSMUSG00000074720,GL456354.1,25923,27230,-1,486,41.59,protein_coding
ENSMUSG00000096244,GL456219.1,149261,150163,-1,903,43.30,protein_coding
ENSMUSG00000096236,JH584297.1,31101,33667,1,1221,46.01,protein_coding
ENSMUSG00000095092,GL456210.1,108390,110303,-1,366,47.70,protein_coding
ENSMUSG00000094874,GL456221.1,30394,32306,-1,366,47.78,protein_coding
ENSMUSG00000094383,JH584299.1,90482,93220,1,1482,44.32,protein_coding
ENSMUSG00000096680,JH584296.1,130715,133448,-1,1443,44.29,protein_coding
ENSMUSG00000096100,GL456211.1,66955,67326,1,372,49.73,protein_coding
ENSMUSG00000095728,JH584298.1,168268,170838,-1,1218,46.13,protein_coding
ENSMUSG00000094337,GL456354.1,82993,86051,-1,1446,43.84,protein_coding
ENSMUSG00000094337,GL456354.1,82993,86051,-1,855,43.84,protein_coding
ENSMUSG00000079192,GL456210.1,123792,124928,1,255,46.26,protein_coding
ENSMUSG00000096756,JH584297.1,108318,111392,-1,1446,44.00,protein_coding
ENSMUSG00000095500,GL456221.1,32239,47294,1,291,43.91,protein_coding
ENSMUSG00000095505,JH584296.1,195181,197903,-1,837,41.87,protein_coding
ENSMUSG00000095672,GL456211.1,160465,162404,-1,366,47.84,protein_coding
ENSMUSG00000095076,JH584298.1,179693,182203,1,1215,43.97,protein_coding
ENSMUSG00000079794,GL456210.1,135395,136519,-1,255,45.78,protein_coding
ENSMUSG00000095450,GL456221.1,46295,46666,-1,372,50.27,protein_coding
ENSMUSG00000079190,GL456211.1,167446,196478,1,1473,43.84,protein_coding
ENSMUSG00000094474,JH584299.1,173050,176134,1,1446,43.89,protein_coding
ENSMUSG00000094799,GL456210.1,147792,149707,1,366,47.65,protein_coding
ENSMUSG00000094728,GL456221.1,58743,59114,1,372,50.27,protein_coding
ENSMUSG00000062783,GL456221.1,111572,163011,-1,2719,43.64,protein_coding
ENSMUSG00000095570,GL456354.1,146926,149659,-1,1443,44.26,protein_coding
ENSMUSG00000094514,GL456211.1,226405,229375,-1,366,40.66,protein_coding
ENSMUSG00000096808,GL456221.1,151235,152734,1,1500,38.27,protein_coding
ENSMUSG00000094791,JH584299.1,314841,317584,1,837,41.47,protein_coding
ENSMUSG00000096728,GL456354.1,158543,161339,1,1446,46.44,protein_coding
ENSMUSG00000096550,JH584299.1,477246,480331,1,1446,43.88,protein_coding
ENSMUSG00000094172,JH584299.1,562161,564894,1,1446,44.37,protein_coding
ENSMUSG00000094887,JH584299.1,587624,625594,1,2515,39.91,protein_coding
ENSMUSG00000091585,JH584299.1,716296,720517,1,1500,43.13,protein_coding
ENSMUSG00000095763,JH584299.1,806210,809281,1,1446,43.88,protein_coding
ENSMUSG00000095523,JH584299.1,837364,840451,1,1446,43.94,protein_coding
ENSMUSG00000095475,JH584299.1,910289,913083,-1,1446,46.08,protein_coding
ENSMUSG00000094855,JH584299.1,921942,924675,1,1446,44.40,protein_coding
ENSMUSG00000095041,JH584304.1,52190,59690,-1,2373,52.45,protein_coding
ENSMUSG00000095041,JH584304.1,52190,59690,-1,4060,52.45,protein_coding
ENSMUSG00000095634,Y,68549224,68551559,1,1225,39.81,protein_coding
ENSMUSG00000095634,Y,68549224,68551559,1,684,39.81,protein_coding
ENSMUSG00000100032,Y,68817865,68843997,-1,923,35.59,protein_coding
ENSMUSG00000094789,Y,31558069,31590101,-1,930,36.88,protein_coding
ENSMUSG00000094789,Y,31558069,31590101,-1,498,36.88,protein_coding
ENSMUSG00000102388,Y,69332401,69343130,1,1204,40.32,protein_coding
ENSMUSG00000095263,Y,32543760,32575788,-1,926,36.87,protein_coding
ENSMUSG00000095263,Y,32543760,32575788,-1,498,36.87,protein_coding
ENSMUSG00000099550,Y,70015477,70026168,-1,1170,40.34,protein_coding
ENSMUSG00000099550,Y,70015477,70026168,-1,685,40.34,protein_coding
ENSMUSG00000099530,Y,70282575,70314612,-1,1341,37.17,protein_coding
ENSMUSG00000094052,Y,70282575,70284911,-1,1219,39.92,protein_coding
ENSMUSG00000094052,Y,70282575,70284911,-1,684,39.92,protein_coding
ENSMUSG00000101725,Y,70303854,70314556,-1,1138,40.29,protein_coding
ENSMUSG00000101725,Y,70303854,70314556,-1,255,40.29,protein_coding
ENSMUSG00000101725,Y,70303854,70314556,-1,229,40.29,protein_coding
ENSMUSG00000095011,Y,33466461,33498509,-1,931,36.85,protein_coding
ENSMUSG00000095011,Y,33466461,33498509,-1,498,36.85,protein_coding
ENSMUSG00000094616,Y,70453151,70479427,1,919,35.56,protein_coding
ENSMUSG00000094616,Y,70453151,70479427,1,567,35.56,protein_coding
ENSMUSG00000099531,Y,71480718,71506901,1,924,35.56,protein_coding
ENSMUSG00000100535,Y,71703312,71729495,1,922,35.52,protein_coding
ENSMUSG00000095793,Y,35061029,35087178,-1,924,35.62,protein_coding
ENSMUSG00000095793,Y,35061029,35087178,-1,498,35.62,protein_coding
ENSMUSG00000096902,Y,72232132,72258387,-1,925,35.55,protein_coding
ENSMUSG00000096902,Y,72232132,72258387,-1,567,35.55,protein_coding
ENSMUSG00000096650,Y,35850673,35876871,-1,921,35.53,protein_coding
ENSMUSG00000096650,Y,35850673,35876871,-1,498,35.53,protein_coding
ENSMUSG00000099782,Y,73680584,73706755,1,923,35.56,protein_coding
ENSMUSG00000101933,Y,36664443,36690635,-1,923,35.58,protein_coding
ENSMUSG00000101528,Y,74481800,74508227,1,922,35.49,protein_coding
ENSMUSG00000101157,Y,37188765,37214948,-1,923,35.59,protein_coding
ENSMUSG00000094507,Y,74635165,74636247,1,1083,43.03,protein_coding
ENSMUSG00000094575,Y,37913156,37915490,1,1225,39.70,protein_coding
ENSMUSG00000101146,Y,75207125,75233327,1,922,35.54,protein_coding
ENSMUSG00000100902,Y,75726591,75752818,1,924,35.53,protein_coding
ENSMUSG00000100892,Y,38431406,38457583,-1,923,35.58,protein_coding
ENSMUSG00000094404,Y,76389931,76391013,1,1083,42.94,protein_coding
ENSMUSG00000100708,Y,76772869,76798998,1,923,35.59,protein_coding
ENSMUSG00000093895,Y,40246135,40272248,-1,923,35.63,protein_coding
ENSMUSG00000093895,Y,40246135,40272248,-1,498,35.63,protein_coding
ENSMUSG00000094354,Y,40335786,40336868,-1,1083,44.14,protein_coding
ENSMUSG00000094647,Y,77704077,77730307,1,923,35.61,protein_coding
ENSMUSG00000094647,Y,77704077,77730307,1,567,35.61,protein_coding
ENSMUSG00000096898,Y,77972142,77974473,-1,1224,39.75,protein_coding
ENSMUSG00000096898,Y,77972142,77974473,-1,684,39.75,protein_coding
ENSMUSG00000096885,Y,40730568,40731110,-1,543,47.33,protein_coding
ENSMUSG00000099792,Y,78224262,78250458,1,923,35.51,protein_coding
ENSMUSG00000095452,Y,40760259,40762701,1,1344,40.81,protein_coding
ENSMUSG00000095452,Y,40760259,40762701,1,699,40.81,protein_coding
ENSMUSG00000096120,Y,41361843,41362385,1,543,46.78,protein_coding
ENSMUSG00000094739,Y,78846990,78849325,-1,1223,40.15,protein_coding
ENSMUSG00000094739,Y,78846990,78849325,-1,684,40.15,protein_coding
ENSMUSG00000095867,Y,79160058,79162391,-1,1224,40.19,protein_coding
ENSMUSG00000095867,Y,79160058,79162391,-1,990,40.19,protein_coding
ENSMUSG00000101471,Y,42505428,42537595,-1,932,36.71,protein_coding
ENSMUSG00000094746,Y,79330834,79356976,1,923,35.63,protein_coding
ENSMUSG00000094746,Y,79330834,79356976,1,498,35.63,protein_coding
