Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand,Transcript length (including UTRs and CDS),Gene % GC content,Gene type
ENSDARG00000063344,24,20927135,20934666,1,803,32.65,protein_coding
ENSDARG00000063344,24,20927135,20934666,1,780,32.65,protein_coding
ENSDARG00000097685,17,50460321,50472985,-1,2986,41.89,protein_coding
ENSDARG00000097685,17,50460321,50472985,-1,1110,41.89,protein_coding
ENSDARG00000036008,1,49266886,49295059,1,1872,36.65,protein_coding
ENSDARG00000069301,9,29034221,29039506,-1,2099,36.25,protein_coding
ENSDARG00000069301,9,29034221,29039506,-1,1044,36.25,protein_coding
ENSDARG00000104901,7,59169081,59176338,1,834,35.41,protein_coding
ENSDARG00000031836,1,44949909,44963259,1,4363,37.24,protein_coding
ENSDARG00000031836,1,44949909,44963259,1,5190,37.24,protein_coding
ENSDARG00000103391,14,14603731,14607855,-1,873,36.95,protein_coding
ENSDARG00000103391,14,14603731,14607855,-1,609,36.95,protein_coding
ENSDARG00000030463,7,35229645,35243976,1,1479,35.86,protein_coding
ENSDARG00000030463,7,35229645,35243976,1,412,35.86,protein_coding
ENSDARG00000030463,7,35229645,35243976,1,2977,35.86,protein_coding
ENSDARG00000103031,4,55507920,55592720,-1,1359,40.09,protein_coding
ENSDARG00000103031,4,55507920,55592720,-1,500,40.09,protein_coding
ENSDARG00000070447,17,48126944,48157178,1,1933,36.39,protein_coding
ENSDARG00000080018,13,34627550,34683370,-1,4484,36.33,protein_coding
ENSDARG00000036109,19,24448584,24484758,-1,1265,36.27,protein_coding
ENSDARG00000029612,8,36591791,36618073,-1,1997,33.18,protein_coding
ENSDARG00000075759,17,15033822,15117508,1,8955,36.58,protein_coding
ENSDARG00000075759,17,15033822,15117508,1,2067,36.58,protein_coding
ENSDARG00000057635,21,13217896,13225402,-1,1924,37.23,protein_coding
ENSDARG00000032737,5,23353570,23429228,-1,456,35.56,protein_coding
ENSDARG00000032737,5,23353570,23429228,-1,2868,35.56,protein_coding
ENSDARG00000053517,17,43039463,43287290,-1,7386,38.68,protein_coding
ENSDARG00000053517,17,43039463,43287290,-1,3999,38.68,protein_coding
ENSDARG00000111826,11,12450564,12452482,-1,1007,45.65,protein_coding
ENSDARG00000111826,11,12450564,12452482,-1,525,45.65,protein_coding
ENSDARG00000111826,11,12450564,12452482,-1,837,45.65,protein_coding
ENSDARG00000015793,7,38897836,38954874,1,3903,35.93,protein_coding
ENSDARG00000015793,7,38897836,38954874,1,452,35.93,protein_coding
ENSDARG00000015793,7,38897836,38954874,1,1479,35.93,protein_coding
ENSDARG00000044573,11,39120306,39148199,1,2001,34.80,protein_coding
ENSDARG00000044573,11,39120306,39148199,1,1350,34.80,protein_coding
ENSDARG00000044573,11,39120306,39148199,1,1908,34.80,protein_coding
ENSDARG00000044573,11,39120306,39148199,1,622,34.80,protein_coding
ENSDARG00000025206,23,6232895,6313808,1,1951,37.28,protein_coding
ENSDARG00000025206,23,6232895,6313808,1,1293,37.28,protein_coding
ENSDARG00000042189,18,10967461,10995410,-1,726,36.99,protein_coding
ENSDARG00000076270,8,45226586,45279411,-1,4345,37.63,protein_coding
ENSDARG00000076270,8,45226586,45279411,-1,5260,37.63,protein_coding
ENSDARG00000045415,24,8904135,8973300,1,1187,36.66,protein_coding
ENSDARG00000045415,24,8904135,8973300,1,1940,36.66,protein_coding
ENSDARG00000100099,4,36473781,36484943,-1,2323,37.28,protein_coding
ENSDARG00000100099,4,36473781,36484943,-1,2431,37.28,protein_coding
ENSDARG00000087916,23,24571812,24582606,-1,980,34.85,protein_coding
ENSDARG00000023058,17,6793001,6810785,1,5649,37.85,protein_coding
ENSDARG00000100738,5,8492640,8526105,1,2346,37.28,protein_coding
ENSDARG00000067711,25,5068442,5084539,1,1492,34.08,protein_coding
ENSDARG00000091834,3,38705425,38745598,-1,5851,35.08,protein_coding
ENSDARG00000068468,24,39443874,39511864,1,846,38.89,protein_coding
ENSDARG00000068468,24,39443874,39511864,1,12194,38.89,protein_coding
ENSDARG00000068468,24,39443874,39511864,1,120,38.89,protein_coding
ENSDARG00000101806,10,36354863,36356642,1,1533,37.70,protein_coding
ENSDARG00000078805,11,39112341,39118929,-1,3267,39.93,protein_coding
ENSDARG00000078805,11,39112341,39118929,-1,3130,39.93,protein_coding
ENSDARG00000058893,6,7085889,7109063,-1,1617,33.74,protein_coding
ENSDARG00000058893,6,7085889,7109063,-1,1156,33.74,protein_coding
ENSDARG00000088881,16,13505064,13516745,-1,2756,39.68,protein_coding
ENSDARG00000095893,20,27222849,27225878,-1,1221,32.61,protein_coding
ENSDARG00000095893,20,27222849,27225878,-1,871,32.61,protein_coding
ENSDARG00000095893,20,27222849,27225878,-1,368,32.61,protein_coding
ENSDARG00000062376,5,23283890,23317477,-1,4438,36.45,protein_coding
ENSDARG00000039490,15,28410664,28425011,1,1779,34.82,protein_coding
ENSDARG00000039490,15,28410664,28425011,1,816,34.82,protein_coding
ENSDARG00000039490,15,28410664,28425011,1,1756,34.82,protein_coding
ENSDARG00000020986,8,3431671,3439484,1,1045,34.82,protein_coding
ENSDARG00000020986,8,3431671,3439484,1,1583,34.82,protein_coding
ENSDARG00000098626,7,17253149,17258812,-1,1006,32.98,protein_coding
ENSDARG00000098626,7,17253149,17258812,-1,888,32.98,protein_coding
ENSDARG00000098626,7,17253149,17258812,-1,1118,32.98,protein_coding
ENSDARG00000089187,23,12418613,12423778,-1,653,33.39,protein_coding
ENSDARG00000101165,4,55273988,55275497,1,199,31.92,protein_coding
ENSDARG00000003175,21,26536950,26554325,1,2622,34.33,protein_coding
ENSDARG00000003175,21,26536950,26554325,1,1181,34.33,protein_coding
ENSDARG00000074846,2,57953239,57991638,-1,893,37.00,protein_coding
ENSDARG00000074846,2,57953239,57991638,-1,6213,37.00,protein_coding
